ID,Speaker,Japanese,English,Chinese,EnglishCensored,Korean,German
1,3012,,"Non c'è niente da
fare! Non riusciamo a toglierlo!","糟糕！
沒辦法把這傢伙扒下來……！",,"안 돼!
이 녀석 떨어지질 않아…!","Es hilft nichts!
Wir kriegen es nicht ab!"
6,2000,,...!,……！,,……!,...!
7,2000,,I Divoratori sono esseri digitali... Quindi...,侵食者是數碼型態……也就是說……！？,,이터는 디지털체… 그렇다면…!?,Verschlinger sind digitale Wesen ... Also ...
8,3002,,"Cosa?
Cosa c'è, [p]?!",什、什麼？怎麼了，[p]！？,,"뭐, 뭐야? 왜 그래, [p]!?","Was?
Was ist, [p]?!"
9,3002,,"Non vorrai mica tentare un Balzo di
Collegamento in un Divoratore?!",難道……你打算對侵食者登入跳躍！？,,"…설마, 이터에게 커넥트 점프를 하려는 거야!?","Du willst nicht ernsthaft einen Verbindungssprung
in einen Verschlinger wagen?!"
10,3012,,"Per me è lo stesso... Fai quello che devi
fare... Aiutala!","怎、怎樣都好……怎樣胡來都沒關係……
請救救……悠子……！",,"뭐, 뭐든 좋아… 어떤 터무니없는 방법이라도 좋으니까…
유코를… 구해줘…!","Mir gleich ... Tu, was immer du tun musst ...
Hilf ihr!"
11,1745,,"Andrà tutto bene,
Fei. Vado al tuo posto.","不要緊的，菲。
我們會代替妳去救她的。",,"…괜찮아, 페이
너 대신, 내가 갈게","Es wird alles gut, Fei.
Ich gehe an deiner Stelle."
12,3012,,"Come? Non ho dato un ordine del genere!
Che tipo di programma agisce in modo indipendente?!","咦……？我、我沒有下那樣子的命令啊……！
為什麼程式擅自……！",,"…에? 그, 그런 명령, 내는 안 내렸어…!
어째서 프로그램이 멋대로…!","Wie? So einen Befehl habe ich nicht gegeben!
Was für ein Programm handelt denn eigenständig?!"
13,3002,,"Va tutto bene, Fei. Fidati dei tuoi
Digimon. Come detto. Non sono solo programmi.","菲，沒事的……相信妳的數碼寶貝。
我說過吧？數碼寶貝不單單只是程式而已。",,"괜찮아 페이… 너의 디지몬을 믿어
말했잖아? 디지몬은 단순한 프로그램이 아니라고","Ist schon in Ordnung, Fei. Vertraue deinen
Digimon. Wie gesagt. Sie sind nicht nur Programme."
14,3012,,Fidarsi dei miei Digimon...?,相信……數、數碼寶貝？,,"…디, 디지몬을… 믿으라고?",Meinen Digimon ... vertrauen?
