ID,Japanese,English,Chinese,EnglishCensored,Korean,German
1,,Crepa nel Muro (Lv. 1),Wall Crack (Lv. 1),,월 크랙(Lv.1),Mauerspalt (St. 1)
2,,Fessura nel Muro (Lv. 2),Wall Crack (Lv. 2),,월 크랙(Lv.2),Mauerspalt (St. 2)
3,,Crepa nel muro (Lv. 3),Wall Crack (Lv. 3),,월 크랙(Lv.3),Mauerspalt (St. 3)
4,,Crepa nel Muro (Lv. 4),Wall Crack (Lv. 4),,월 크랙(Lv.4),Mauerspalt (St. 4)
5,,Archivista,Archiver,,아카이버,Archivar
6,,Scansione del codice,Code Scan,,코드 스캔,Code-Scan (St. 1)
7,,Scansione Codice (Lv. 2),Code Scan (Lv. 2),,코드 스캔(Lv.2),Code-Scan (St. 2)
8,,Copia e Incolla,Copy and Paste,,카피 앤 페이스트,Kopieren und einfügen
9,,Nascondiglio Stealth,Stealth Hide,,스텔스 하이드,Tarnkappe
10,,Alta sicurezza (Lv. 1),High Security (Lv. 1),,하드 시큐리티(Lv.1),Hochsicherheit (St. 1)
11,,Alta Sicurezza (Liv. 2),High Security (Lv. 2),,하드 시큐리티(Lv.2),Hochsicherheit (St. 2)
12,,Alta Sicurezza (Lv. 3),High Security (Lv. 3),,하드 시큐리티(Lv.3),Hochsicherheit (St. 3)
13,,Richiamo Funzione (Lv. 1),Function Call (Lv. 1),,펑션 콜(Lv.1),Funktionsaufruf (St. 1)
14,,Chiamata di Funzione (Lv. 2),Function Call (Lv. 2),,펑션 콜(Lv.2),Funktionsaufruf (St. 2)
15,,Accesso Percorso,Route Access,,루트 액세스,Wegzugriff
16,,Controllo Potere,Power Control,,파워 컨트롤,Stromkontrolle
17,,Ripristino,Restoration,,레스터레이션,Wiederherstellung
18,,Visualizzatore,Visualizer,,비주얼라이저,Visualisierung
19,,Varco Libero,Free Gate,,프리게이트,Gratis-Tor
20,,Accelerazione,Acceleration,,액셀러레이트,Beschleunigung
101,,Crepa nel Muro         Liv. 1,Wall Crack　Lv. 1,,월 크랙(Lv.1),Mauerspalt         St. 1
102,,Crepa nel Muro         Lv. 2,Wall Crack　Lv. 2,,월 크랙(Lv.2),Mauerspalt         St. 2
103,,Muro Crepato          Lv. 3,Wall Crack　Lv. 3,,월 크랙(Lv.3),Mauerspalt         St. 3
104,,Crepa nel muro Lv. 4,Wall Crack　Lv. 4,,월 크랙(Lv.4),Mauerspalt         St. 4
105,,Archivista,Archiver,,아카이버,Archivar
106,,Scansione Codice,Code Scan,,코드 스캔,Code-Scan            St. 1
107,,Scansione Codice      Lv. 2,Code Scan　Lv. 2,,코드 스캔(Lv.2),Code-Scan            St. 2
108,,Copia e Incolla,Copy and Paste,,카피 앤 페이스트,Kopieren und einfügen
109,,Nascondiglio Segreto,Stealth Hide,,스텔스 하이드,Tarnkappe
110,,Alta sicurezza         Lv. 1,High Security　Lv. 1,,하드 시큐리티(Lv.1),Hochsicherheit      St. 1
111,,Alta Sicurezza Lv. 2,High Security　Lv. 2,,하드 시큐리티(Lv.2),Hochsicherheit      St. 2
112,,Alta sicurezza         Lv. 3,High Security　Lv. 3,,하드 시큐리티(Lv.3),Hochsicherheit      St. 3
113,,Chiamata Funzione Lv. 1,Function Call　Lv. 1,,펑션 콜(Lv.1),Funktionsaufruf      St. 1
114,,Chiamata Funzione Lv. 2,Function Call　Lv. 2,,펑션 콜(Lv.2),Funktionsaufruf      St. 2
115,,Accesso alla Route,Route Access,,루트 액세스,Wegzugriff
116,,Controllo Energetico,Power Control,,파워 컨트롤,Stromkontrolle
117,,Ripristino,Restoration,,레스터레이션,Wiederherstellung
118,,Visualizzatore,Visualizer,,비주얼라이저,Visualisierung
119,,Varco Libero,Free Gate,,프리게이트,Gratis-Tor
120,,Accelerazione,Acceleration,,액셀러레이트,Beschleunigung
